Stock,Ticker,Close,Adj_Close,RSI,Vol_Spike,Action,1Y_Return_%,Rank
Sai Life Sciences Ltd.,SAILIFE.NS,917.6,917.6,63.26,1.53,BUILD,4.58,4
Adani Power Ltd.,ADANIPOWER.NS,149.05,149.05,63.39,0.79,BUILD,1.56,4
Fortis Healthcare Ltd.,FORTIS.NS,891.85,891.85,63.41,0.66,BUILD,-2.61,4
RBL Bank Ltd.,RBLBANK.NS,306.7,306.7,63.83,0.33,BUILD,1.47,4
Sundaram Finance Ltd.,SUNDARMFIN.NS,5321.0,5321.0,63.98,0.56,BUILD,12.27,4
TVS Motor Company Ltd.,TVSMOTOR.NS,3762.4,3762.4,64.04,1.0,BUILD,2.5,4
Godawari Power & Ispat Ltd.,GPIL.NS,260.21,260.21,64.04,2.25,BUILD,10.15,4
NMDC Steel Ltd.,NSLNISP.NS,42.49,42.49,64.23,0.8,BUILD,1.34,4
Sammaan Capital Ltd.,SAMMAANCAP.NS,147.23,147.23,64.35,0.45,BUILD,-1.85,4
NMDC Ltd.,NMDC.NS,85.07,85.07,64.44,1.55,BUILD,11.8,4
Adani Energy Solutions Ltd.,ADANIENSOL.NS,1016.75,1016.75,64.72,0.48,BUILD,4.07,4
Force Motors Ltd.,FORCEMOT.NS,23623.0,23623.0,65.14,1.91,BUILD,32.1,4
Ceat Ltd.,CEATLTD.NS,4006.7,4006.7,65.58,0.98,BUILD,2.5,4
Titan Company Ltd.,TITAN.NS,4269.1,4269.1,65.61,1.85,BUILD,9.86,4
IDBI Bank Ltd.,IDBI.NS,108.04,108.04,65.77,2.05,BUILD,8.3,4
Welspun Living Ltd.,WELSPUNLIV.NS,136.83,136.83,66.46,1.34,BUILD,0.33,4
Minda Corporation Ltd.,MINDACORP.NS,587.2,587.2,66.93,1.14,BUILD,-2.28,4
Escorts Kubota Ltd.,ESCORTS.NS,3823.6,3823.6,67.38,2.48,BUILD,1.77,4
Max Financial Services Ltd.,MFSL.NS,1747.2,1747.2,68.14,1.36,BUILD,3.27,4
Steel Authority of India Ltd.,SAIL.NS,160.99,160.99,68.5,1.1,BUILD,21.54,4
Oil India Ltd.,OIL.NS,488.85,488.85,68.62,0.29,BUILD,17.33,4
Vodafone Idea Ltd.,IDEA.NS,11.48,11.48,68.91,0.73,BUILD,13.33,4
CCL Products (I) Ltd.,CCL.NS,1031.05,1031.05,69.0,0.7,BUILD,4.22,4
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,1554.7,1554.7,69.28,0.53,BUILD,2.41,4
Birlasoft Ltd.,BSOFT.NS,465.5,465.5,69.32,2.98,BUILD,14.95,4
Bharat Heavy Electricals Ltd.,BHEL.NS,276.1,276.1,69.44,0.61,BUILD,-3.29,4
State Bank of India,SBIN.NS,1144.1,1144.1,69.53,1.45,BUILD,18.28,4
Polycab India Ltd.,POLYCAB.NS,7742.5,7742.5,69.57,0.26,BUILD,5.38,4
Century Plyboards (India) Ltd.,CENTURYPLY.NS,802.55,802.55,69.66,0.7,BUILD,-1.88,4
Oil & Natural Gas Corporation Ltd.,ONGC.NS,272.15,272.15,69.89,0.7,BUILD,11.75,4
The Ramco Cements Ltd.,RAMCOCEM.NS,1168.5,1168.5,70.19,3.37,BUILD,14.28,4
JSW Steel Ltd.,JSWSTEEL.NS,1244.1,1244.1,70.26,0.65,BUILD,7.07,4
AIA Engineering Ltd.,AIAENG.NS,4108.4,4108.4,70.52,0.94,BUILD,6.48,4
Voltas Ltd.,VOLTAS.NS,1475.6,1475.6,70.7,1.9,BUILD,9.07,4
Star Health and Allied Insurance Company Ltd.,STARHEALTH.NS,468.75,468.75,71.03,0.45,BUILD,-2.2,4
NTPC Ltd.,NTPC.NS,366.9,366.9,71.31,0.72,BUILD,11.66,4
Tata Steel Ltd.,TATASTEEL.NS,208.01,208.01,71.66,2.36,BUILD,23.98,4
Kirloskar Oil Eng Ltd.,KIRLOSENG.NS,1264.7,1264.7,72.74,1.4,BUILD,13.57,4
Blue Star Ltd.,BLUESTARCO.NS,1948.3,1948.3,72.86,1.43,BUILD,11.62,4
Mahindra & Mahindra Financial Services Ltd.,M&MFIN.NS,392.8,392.8,72.9,1.48,BUILD,7.62,4
Grasim Industries Ltd.,GRASIM.NS,2953.9,2953.9,73.34,0.87,BUILD,8.0,4
Cummins India Ltd.,CUMMINSIND.NS,4418.3,4418.3,74.18,1.15,BUILD,-2.13,4
KEI Industries Ltd.,KEI.NS,4590.6,4590.6,74.4,0.39,BUILD,9.71,4
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA.NS,15220.0,15220.0,74.44,0.52,BUILD,5.6,4
Ajanta Pharmaceuticals Ltd.,AJANTPHARM.NS,2891.3,2891.3,74.77,1.29,BUILD,11.69,4
Indus Towers Ltd.,INDUSTOWER.NS,459.15,459.15,75.28,1.72,BUILD,14.23,4
Bajaj Auto Ltd.,BAJAJ-AUTO.NS,9774.0,9774.0,75.34,1.18,BUILD,7.58,4
Bharat Petroleum Corporation Ltd.,BPCL.NS,386.35,386.35,77.21,0.41,BUILD,7.69,4
Bharat Forge Ltd.,BHARATFORG.NS,1614.0,1614.0,77.29,0.85,BUILD,13.55,4
BSE Ltd.,BSE.NS,3174.2,3174.2,77.57,3.71,BUILD,11.64,4
JK Tyre & Industries Ltd.,JKTYRE.NS,571.65,571.65,77.68,2.16,BUILD,25.8,4
3M India Ltd.,3MINDIA.NS,37635.0,37635.0,77.84,2.74,BUILD,8.3,4
Sona BLW Precision Forgings Ltd.,SONACOMS.NS,531.1,531.1,77.84,0.45,BUILD,4.88,4
Samvardhana Motherson International Ltd.,MOTHERSON.NS,129.43,129.43,78.05,3.31,BUILD,8.53,4
Larsen & Toubro Ltd.,LT.NS,4169.0,4169.0,79.04,0.86,BUILD,3.44,4
Chennai Petroleum Corporation Ltd.,CHENNPETRO.NS,918.8,918.8,79.22,0.29,BUILD,-1.5,4
Shipping Corporation of India Ltd.,SCI.NS,266.97,266.97,80.76,5.38,BUILD,16.51,4
Jindal Steel Ltd.,JINDALSTEL.NS,1191.4,1191.4,80.89,0.39,BUILD,15.8,4
Apar Industries Ltd.,APARINDS.NS,9468.5,9468.5,82.08,0.32,BUILD,6.38,4
Karur Vysya Bank Ltd.,KARURVYSYA.NS,325.5,325.5,84.3,0.55,BUILD,29.82,4
APL Apollo Tubes Ltd.,APLAPOLLO.NS,2238.7,2238.7,84.79,0.96,BUILD,29.06,4
FSN E-Commerce Ventures Ltd.,NYKAA.NS,280.69,280.69,85.21,1.64,BUILD,7.22,4
Hitachi Energy India Ltd.,POWERINDIA.NS,22457.0,22457.0,86.68,0.56,BUILD,-1.31,4
Indian Oil Corporation Ltd.,IOC.NS,178.21,178.21,86.68,1.45,BUILD,9.78,4
Ashok Leyland Ltd.,ASHOKLEY.NS,209.73,209.73,90.13,0.78,BUILD,31.08,4
GE Vernova T&D India Ltd.,GVT&D.NS,3614.8,3614.8,90.46,0.58,BUILD,26.74,4
Syrma SGS Technology Ltd.,SYRMA.NS,874.5,874.5,93.49,0.44,BUILD,9.98,4
Great Eastern Shipping Co. Ltd.,GESHIP.NS,1342.7,1342.7,97.94,1.51,BUILD,22.39,4
Mangalore Refinery & Petrochemicals Ltd.,MRPL.NS,194.7,194.7,98.7,0.42,BUILD,22.47,4
Infosys Ltd.,INFY.NS,1497.8,1497.8,20.4,0.94,HOLD,-4.05,99
Authum Investment & Infrastructure Ltd.,AIIL.NS,497.85,497.85,21.52,0.59,HOLD,-4.72,99
Asian Paints Ltd.,ASIANPAINT.NS,2393.6,2393.6,23.19,0.98,HOLD,-18.98,99
Hyundai Motor India Ltd.,HYUNDAI.NS,2180.8,2180.8,27.63,0.5,HOLD,-8.47,99
HCL Technologies Ltd.,HCLTECH.NS,1573.1,1573.1,28.21,1.14,HOLD,-3.82,99
MphasiS Ltd.,MPHASIS.NS,2614.1,2614.1,30.45,0.74,HOLD,-7.89,99
Varun Beverages Ltd.,VBL.NS,456.5,456.5,33.65,0.77,HOLD,-5.17,99
Wipro Ltd.,WIPRO.NS,231.47,231.47,37.99,0.83,HOLD,-7.47,99
Ola Electric Mobility Ltd.,OLAELEC.NS,31.18,31.18,40.11,0.99,EXIT,-22.13,99
Poly Medicure Ltd.,POLYMED.NS,1485.7,1485.7,40.16,1.84,EXIT,-22.83,99
Housing & Urban Development Corporation Ltd.,HUDCO.NS,193.91,193.91,40.19,0.52,EXIT,-17.87,99
Ipca Laboratories Ltd.,IPCALAB.NS,1426.2,1426.2,40.19,0.63,HOLD,-0.22,99
Tata Consultancy Services Ltd.,TCS.NS,2984.6,2984.6,40.37,0.98,EXIT,-4.82,99
C.E. Info Systems Ltd.,MAPMYINDIA.NS,1298.4,1298.4,40.63,1.45,EXIT,-25.16,99
eClerx Services Ltd.,ECLERX.NS,3985.0,3985.0,40.84,2.54,EXIT,-16.89,99
Kec International Ltd.,KEC.NS,622.0,622.0,41.9,0.9,EXIT,-12.68,99
Bank of Baroda,BANKBARODA.NS,290.35,290.35,42.05,0.79,HOLD,-2.21,99
Deepak Fertilisers & Petrochemicals Corp. Ltd.,DEEPAKFERT.NS,1069.5,1069.5,42.26,0.73,EXIT,-19.02,99
Dr. Agarwal's Health Care Ltd.,AGARWALEYE.NS,455.7,455.7,42.43,0.21,HOLD,-12.22,99
Tata Technologies Ltd.,TATATECH.NS,630.7,630.7,42.8,0.96,EXIT,-6.76,99
Honeywell Automation India Ltd.,HONAUT.NS,32185.0,32185.0,42.87,0.73,EXIT,-8.76,99
Bikaji Foods International Ltd.,BIKAJI.NS,674.15,674.15,42.94,1.03,EXIT,-3.78,99
SBFC Finance Ltd.,SBFC.NS,98.52,98.52,43.38,0.29,EXIT,-7.28,99
Indian Energy Exchange Ltd.,IEX.NS,126.14,126.14,43.58,0.86,EXIT,-15.08,99
Tata Consumer Products Ltd.,TATACONSUM.NS,1152.2,1152.2,43.83,0.63,HOLD,-0.86,99
Godrej Consumer Products Ltd.,GODREJCP.NS,1206.6,1206.6,43.9,0.43,HOLD,6.58,99
Aavas Financiers Ltd.,AAVAS.NS,1343.1,1343.1,43.91,0.48,EXIT,-11.33,99
Blue Jet Healthcare Ltd.,BLUEJET.NS,442.5,442.5,44.02,1.08,EXIT,-22.35,99
Reliance Power Ltd.,RPOWER.NS,28.46,28.46,44.02,0.62,EXIT,-26.84,99
Hindustan Aeronautics Ltd.,HAL.NS,4168.3,4168.3,44.07,0.59,EXIT,-7.55,99
Mankind Pharma Ltd.,MANKIND.NS,2073.1,2073.1,44.66,0.66,EXIT,-6.47,99
SBI Life Insurance Company Ltd.,SBILIFE.NS,2018.3,2018.3,44.69,0.48,HOLD,1.86,99
Yes Bank Ltd.,YESBANK.NS,21.4,21.4,44.79,0.52,HOLD,-5.77,99
Caplin Point Laboratories Ltd.,CAPLIPOINT.NS,1731.7,1731.7,44.82,2.58,EXIT,-9.78,99
Kajaria Ceramics Ltd.,KAJARIACER.NS,946.3,946.3,44.92,0.92,EXIT,-12.33,99
ITC Ltd.,ITC.NS,321.4,321.4,45.32,0.48,EXIT,-19.84,99
Kalyan Jewellers India Ltd.,KALYANKJIL.NS,433.9,433.9,45.51,2.2,EXIT,-13.45,99
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI.NS,643.0,643.0,45.66,0.97,HOLD,4.29,99
Tata Communications Ltd.,TATACOMM.NS,1676.8,1676.8,45.82,1.29,EXIT,-9.28,99
Choice International Ltd.,CHOICEIN.NS,780.55,780.55,45.99,2.44,HOLD,-0.53,99
Tata Chemicals Ltd.,TATACHEM.NS,715.8,715.8,46.01,1.9,EXIT,-9.37,99
Narayana Hrudayalaya Ltd.,NH.NS,1794.0,1794.0,46.01,1.74,EXIT,-6.09,99
Netweb Technologies India Ltd.,NETWEB.NS,3178.4,3178.4,46.32,0.63,HOLD,-1.3,99
Phoenix Mills Ltd.,PHOENIXLTD.NS,1758.7,1758.7,46.51,0.31,HOLD,1.59,99
Nuvama Wealth Management Ltd.,NUVAMA.NS,1386.0,1386.0,46.56,0.56,EXIT,-4.66,99
Afcons Infrastructure Ltd.,AFCONS.NS,345.65,345.65,46.62,0.85,EXIT,-16.64,99
JSW Infrastructure Ltd.,JSWINFRA.NS,265.35,265.35,46.99,0.63,EXIT,-2.77,99
Jyoti CNC Automation Ltd.,JYOTICNC.NS,825.65,825.65,47.13,2.86,EXIT,-16.54,99
CRISIL Ltd.,CRISIL.NS,4678.0,4678.0,47.13,0.51,EXIT,6.43,99
Motherson Sumi Wiring India Ltd.,MSUMI.NS,42.84,42.84,47.22,1.32,EXIT,-7.69,99
Jubilant Pharmova Ltd.,JUBLPHARMA.NS,936.4,936.4,47.34,0.68,EXIT,-14.75,99
NTPC Green Energy Ltd.,NTPCGREEN.NS,89.47,89.47,47.54,0.98,EXIT,-3.67,99
J.K. Cement Ltd.,JKCEMENT.NS,5822.0,5822.0,47.56,0.45,EXIT,0.43,99
Aurobindo Pharma Ltd.,AUROPHARMA.NS,1124.1,1124.1,47.65,5.22,EXIT,-7.5,99
NHPC Ltd.,NHPC.NS,76.95,76.95,48.04,1.45,EXIT,-0.43,99
Go Digit General Insurance Ltd.,GODIGIT.NS,321.35,321.35,48.09,0.37,EXIT,-7.24,99
Jubilant Ingrevia Ltd.,JUBLINGREA.NS,660.4,660.4,48.14,1.01,EXIT,-6.07,99
Lemon Tree Hotels Ltd.,LEMONTREE.NS,132.87,132.87,48.17,1.53,EXIT,-18.12,99
REC Ltd.,RECLTD.NS,355.8,355.8,48.35,0.87,EXIT,-0.46,99
Indian Railway Finance Corporation Ltd.,IRFC.NS,115.46,115.46,48.37,0.77,EXIT,-0.82,99
Jaiprakash Power Ventures Ltd.,JPPOWER.NS,15.2,15.2,48.4,0.57,EXIT,-20.71,99
Aptus Value Housing Finance India Ltd.,APTUS.NS,260.4,260.4,48.81,1.22,EXIT,-6.35,99
Indian Renewable Energy Development Agency Ltd.,IREDA.NS,129.28,129.28,48.87,0.58,EXIT,-7.78,99
Neuland Laboratories Ltd.,NEULANDLAB.NS,13502.0,13502.0,49.21,3.96,EXIT,-17.44,99
Rainbow Childrens Medicare Ltd.,RAINBOW.NS,1206.8,1206.8,49.32,1.81,EXIT,-9.63,99
Britannia Industries Ltd.,BRITANNIA.NS,5873.5,5873.5,49.38,0.76,HOLD,-0.03,99
Rail Vikas Nigam Ltd.,RVNL.NS,319.45,319.45,49.47,1.05,EXIT,0.49,99
AWL Agri Business Ltd.,AWL.NS,209.85,209.85,49.63,0.88,EXIT,-15.86,99
Coromandel International Ltd.,COROMANDEL.NS,2268.7,2268.7,49.68,0.93,EXIT,-3.18,99
Tata Elxsi Ltd.,TATAELXSI.NS,5381.0,5381.0,49.7,0.73,EXIT,4.95,99
ACC Ltd.,ACC.NS,1695.4,1695.4,49.76,0.75,EXIT,-8.45,99
Procter & Gamble Hygiene & Health Care Ltd.,PGHH.NS,11976.0,11976.0,49.86,1.5,EXIT,-5.7,99
LIC Housing Finance Ltd.,LICHSGFIN.NS,522.55,522.55,49.91,0.46,EXIT,-5.79,99
Bosch Ltd.,BOSCHLTD.NS,35575.0,35575.0,50.0,0.86,EXIT,-2.96,99
Sumitomo Chemical India Ltd.,SUMICHEM.NS,422.6,422.6,50.0,0.74,EXIT,-8.17,99
Dalmia Bharat Ltd.,DALBHARAT.NS,2191.4,2191.4,50.0,0.53,HOLD,10.3,99
Capri Global Capital Ltd.,CGCL.NS,174.96,174.96,50.02,0.44,EXIT,-7.72,99
L&T Finance Ltd.,LTF.NS,294.0,294.0,50.15,0.54,HOLD,-3.94,99
Can Fin Homes Ltd.,CANFINHOME.NS,915.85,915.85,50.17,1.12,HOLD,1.34,99
Apollo Tyres Ltd.,APOLLOTYRE.NS,507.2,507.2,50.35,1.05,HOLD,-2.32,99
Vedant Fashions Ltd.,MANYAVAR.NS,495.85,495.85,50.39,0.81,EXIT,-18.05,99
R R Kabel Ltd.,RRKABEL.NS,1416.0,1416.0,50.51,1.17,HOLD,1.03,99
Radico Khaitan Ltd,RADICO.NS,2763.6,2763.6,50.52,0.71,EXIT,-13.95,99
HDFC Bank Ltd.,HDFCBANK.NS,932.4,932.4,50.68,0.98,EXIT,-5.8,99
Ambuja Cements Ltd.,AMBUJACEM.NS,538.5,538.5,50.83,0.74,EXIT,-0.83,99
Abbott India Ltd.,ABBOTINDIA.NS,27295.0,27295.0,51.03,1.72,EXIT,-6.65,99
Affle 3i Ltd.,AFFLE.NS,1664.1,1664.1,51.18,1.09,EXIT,0.35,99
BLS International Services Ltd.,BLS.NS,292.8,292.8,51.32,0.67,EXIT,-9.53,99
Nuvoco Vistas Corporation Ltd.,NUVOCO.NS,348.3,348.3,51.37,1.1,EXIT,-3.61,99
Indraprastha Gas Ltd.,IGL.NS,177.34,177.34,51.46,0.81,EXIT,-10.63,99
Jupiter Wagons Ltd.,JWL.NS,312.1,312.1,51.69,0.44,EXIT,9.86,99
JSW Energy Ltd.,JSWENERGY.NS,483.7,483.7,51.77,0.36,EXIT,-0.09,99
Sundram Fasteners Ltd.,SUNDRMFAST.NS,929.2,929.2,52.03,0.46,EXIT,-2.25,99
Brigade Enterprises Ltd.,BRIGADE.NS,802.4,802.4,52.11,0.44,EXIT,-9.83,99
Emami Ltd.,EMAMILTD.NS,499.1,499.1,52.18,1.43,EXIT,-4.39,99
Motilal Oswal Financial Services Ltd.,MOTILALOFS.NS,820.95,820.95,52.28,0.63,EXIT,-14.05,99
Concord Biotech Ltd.,CONCORDBIO.NS,1282.3,1282.3,52.35,0.59,EXIT,-10.8,99
MMTC Ltd.,MMTC.NS,66.17,66.17,52.45,0.25,HOLD,11.64,99
Engineers India Ltd.,ENGINERSIN.NS,183.34,183.34,52.5,1.0,EXIT,-7.34,99
UTI Asset Management Company Ltd.,UTIAMC.NS,1088.55,1088.55,52.53,0.86,EXIT,-5.29,99
DOMS Industries Ltd.,DOMS.NS,2483.8,2483.8,52.66,1.89,EXIT,-0.78,99
Latent View Analytics Ltd.,LATENTVIEW.NS,413.05,413.05,52.72,0.38,EXIT,-11.79,99
Glenmark Pharmaceuticals Ltd.,GLENMARK.NS,1958.0,1958.0,52.85,0.58,HOLD,-1.04,99
SJVN Ltd.,SJVN.NS,72.8,72.8,52.89,0.73,EXIT,-5.91,99
Jyothy Labs Ltd.,JYOTHYLAB.NS,249.94,249.94,52.91,2.08,EXIT,-15.37,99
Thermax Ltd.,THERMAX.NS,2960.2,2960.2,52.93,0.61,EXIT,1.23,99
Indegene Ltd.,INDGN.NS,486.1,486.1,53.01,1.45,EXIT,-8.4,99
Aadhar Housing Finance Ltd.,AADHARHFC.NS,473.55,473.55,53.05,1.32,EXIT,-2.37,99
PI Industries Ltd.,PIIND.NS,3190.6,3190.6,53.05,1.75,EXIT,-5.44,99
